Date,Open,High,Low,Close,Adj. Close,Change,Volume
2014-11-13,118.70,119.18,118.44,118.91,87.488,+0.24%,4475900
2014-11-14,118.84,119.59,118.68,119.49,87.915,+0.49%,5191200
2014-11-17,119.78,119.79,118.88,119.19,87.694,-0.25%,4726200
2014-11-18,119.32,119.58,119.16,119.52,87.937,+0.28%,4471200
2014-11-19,118.88,119.58,118.76,118.76,87.377,-0.64%,5792500
2014-11-20,119.90,119.95,119.06,119.38,87.834,+0.52%,5683600
2014-11-21,119.57,120.16,119.52,120.10,88.363,+0.60%,3640100
2014-11-24,119.67,120.27,119.55,120.20,88.437,+0.08%,4033900
2014-11-25,120.37,121.27,120.31,121.20,89.173,+0.83%,6770000
2014-11-26,121.64,121.87,121.47,121.53,89.415,+0.27%,4339100
2014-11-28,122.13,122.67,122.13,122.49,90.122,+0.79%,4562200
2014-12-01,122.68,122.81,121.46,121.50,89.596,-0.81%,7728600
2014-12-02,120.84,120.85,120.29,120.32,88.726,-0.97%,5757200
2014-12-03,120.30,120.80,120.13,120.79,89.072,+0.39%,4868600
2014-12-04,120.75,121.80,120.62,121.80,89.817,+0.84%,4250500
2014-12-05,121.57,121.60,120.52,121.09,89.294,-0.58%,8030700
2014-12-08,121.42,122.84,121.14,122.57,90.385,+1.22%,6021800
2014-12-09,123.60,123.97,122.96,123.20,90.850,+0.51%,6639700
2014-12-10,123.18,124.40,123.08,124.10,91.513,+0.73%,6439200
2014-12-11,123.74,124.61,123.29,124.61,91.889,+0.41%,7863500
2014-12-12,125.45,126.35,125.02,126.30,93.136,+1.36%,9317400
2014-12-15,125.64,126.70,125.43,126.04,92.944,-0.21%,9387400
2014-12-16,127.36,127.72,126.36,127.60,94.094,+1.24%,7426400
2014-12-17,126.91,127.19,125.70,126.45,93.246,-0.90%,11558800
2014-12-18,124.93,125.10,124.20,124.20,91.587,-1.78%,12758200
2014-12-19,124.58,125.95,124.44,125.87,92.818,+1.34%,7894500
2014-12-22,125.45,126.19,125.32,126.04,92.944,+0.14%,4118800
2014-12-23,125.45,125.60,123.49,123.54,91.100,-1.98%,7406100
2014-12-24,123.06,124.06,122.93,123.95,91.596,+0.33%,4871400
2014-12-26,124.55,124.59,124.02,124.41,91.936,+0.37%,2921300
2014-12-29,124.91,125.66,124.81,125.34,92.623,+0.75%,4070700
2014-12-30,125.98,126.21,125.53,125.68,92.875,+0.27%,4372600
2014-12-31,125.70,126.17,125.65,125.92,93.052,+0.19%,4993300
2015-01-02,126.29,127.66,126.15,127.32,94.087,+1.11%,9432000
2015-01-05,128.01,129.63,127.96,129.32,95.564,+1.57%,9789500
2015-01-06,130.70,132.49,130.19,131.65,97.286,+1.80%,18331300
2015-01-07,130.70,131.97,130.17,131.39,97.094,-0.20%,9762900
2015-01-08,130.36,130.37,129.42,129.65,95.808,-1.32%,8055300
